competition_name,season_name,competition_short,tournament_id,match_id,team,total_events,shots,passes,carries,pressures,recoveries,duels,interceptions,blocks,clearances,xg,completed_passes,pass_completion_pct
FIFA World Cup,2022,World Cup,World Cup_2022,3869486,Morocco,1111,9,249,194,163,50,28,15,25,35,0.972022875,184,73.89558232931726
FIFA World Cup,2022,World Cup,World Cup_2022,3869486,Portugal,2270,12,731,611,79,45,26,4,8,3,0.7441207567,616,84.26812585499316
FIFA World Cup,2022,World Cup,World Cup_2022,3869519,Argentina,1633,9,432,331,192,40,34,8,23,18,1.8643632719999998,358,82.87037037037037
FIFA World Cup,2022,World Cup,World Cup_2022,3869519,Croatia,2173,12,648,594,98,50,29,12,12,8,0.4100536413,559,86.26543209876543
FIFA World Cup,2022,World Cup,World Cup_2022,3869552,France,1480,14,387,315,190,42,33,20,20,19,2.002449116,316,81.65374677002583
FIFA World Cup,2022,World Cup,World Cup_2022,3869552,Morocco,2071,13,615,499,118,53,38,4,11,12,1.23036399,529,86.01626016260163
FIFA World Cup,2022,World Cup,World Cup_2022,3869684,Croatia,1762,12,528,410,113,40,26,8,13,19,0.8492689636,439,83.14393939393939
FIFA World Cup,2022,World Cup,World Cup_2022,3869684,Morocco,1798,9,512,420,144,44,25,16,15,16,0.99145712,431,84.1796875
FIFA World Cup,2022,World Cup,World Cup_2022,3869685,Argentina,2372,24,693,513,167,59,50,13,26,26,5.892305926,560,80.8080808080808
FIFA World Cup,2022,World Cup,World Cup_2022,3869685,France,2035,14,570,427,194,56,48,15,24,19,5.406617949,434,76.14035087719299
UEFA Euro,2024,Euro,Euro_2024,3930158,Germany,2331,20,723,585,121,34,24,5,17,10,1.8446339139999999,665,91.97786998616874
UEFA Euro,2024,Euro,Euro_2024,3930158,Scotland,1041,1,275,189,139,28,23,7,18,19,0.060525935,206,74.90909090909092
UEFA Euro,2024,Euro,Euro_2024,3930159,Hungary,1624,6,483,332,166,34,30,14,18,17,1.102845594,384,79.5031055900621
UEFA Euro,2024,Euro,Euro_2024,3930159,Switzerland,1746,15,492,394,161,45,34,12,15,17,2.0957691709999997,407,82.72357723577237
UEFA Euro,2024,Euro,Euro_2024,3930160,Croatia,2009,16,557,458,222,38,38,11,30,7,2.48209888,482,86.53500897666068
UEFA Euro,2024,Euro,Euro_2024,3930160,Spain,1784,11,490,385,208,39,25,3,17,9,1.567182589,410,83.6734693877551
UEFA Euro,2024,Euro,Euro_2024,3930163,England,2073,5,618,531,108,43,23,7,17,21,0.558814127,543,87.86407766990291
UEFA Euro,2024,Euro,Euro_2024,3930163,Serbia,1847,6,548,416,148,33,28,6,15,16,0.249405245,462,84.30656934306569
UEFA Euro,2024,Euro,Euro_2024,3930164,Belgium,2036,16,601,496,133,40,23,3,22,15,1.750255039,508,84.52579034941763
UEFA Euro,2024,Euro,Euro_2024,3930164,Slovakia,1507,10,399,315,182,48,18,14,22,14,0.7111064834,309,77.44360902255639
UEFA Euro,2024,Euro,Euro_2024,3930165,Austria,1943,5,529,420,222,38,42,8,30,18,0.748317325,432,81.66351606805293
UEFA Euro,2024,Euro,Euro_2024,3930165,France,1775,14,499,380,134,47,20,10,28,23,1.904531775,421,84.3687374749499
UEFA Euro,2024,Euro,Euro_2024,3930166,Czech Republic,1117,5,274,189,142,41,45,16,28,29,0.314766696,177,64.59854014598541
UEFA Euro,2024,Euro,Euro_2024,3930166,Portugal,2493,19,753,641,122,61,26,5,21,13,1.8375108777000002,643,85.3917662682603
UEFA Euro,2024,Euro,Euro_2024,3930167,Albania,1408,14,341,282,188,46,32,11,24,26,1.325860005,264,77.41935483870968
UEFA Euro,2024,Euro,Euro_2024,3930167,Croatia,2311,21,681,592,138,53,22,12,16,12,1.858599932,602,88.39941262848751
UEFA Euro,2024,Euro,Euro_2024,3930168,Germany,2596,19,758,708,140,43,29,7,19,16,1.4836928440000001,688,90.76517150395779
UEFA Euro,2024,Euro,Euro_2024,3930168,Hungary,1284,11,337,247,143,37,26,6,21,29,1.228033313,265,78.63501483679525
UEFA Euro,2024,Euro,Euro_2024,3930169,Scotland,1494,12,418,306,161,37,30,4,16,17,0.771882568,319,76.31578947368422
UEFA Euro,2024,Euro,Euro_2024,3930169,Switzerland,1636,11,456,344,154,33,35,7,23,32,0.990153617,365,80.04385964912281
UEFA Euro,2024,Euro,Euro_2024,3930171,Denmark,1996,16,587,493,155,34,33,9,20,6,0.7333294029999999,495,84.32708688245314
UEFA Euro,2024,Euro,Euro_2024,3930171,England,1885,12,577,437,106,35,31,5,22,8,1.172705295,489,84.74870017331023
UEFA Euro,2024,Euro,Euro_2024,3930172,Italy,1766,4,476,359,231,38,34,9,15,14,0.143399362,389,81.72268907563026
UEFA Euro,2024,Euro,Euro_2024,3930172,Spain,2216,20,624,582,153,44,28,10,16,9,1.5338804222,564,90.38461538461539
UEFA Euro,2024,Euro,Euro_2024,3930173,France,2253,15,697,615,100,29,17,4,11,8,1.2184023685,630,90.38737446197992
UEFA Euro,2024,Euro,Euro_2024,3930173,Netherlands,1428,9,424,327,108,20,20,10,15,22,0.738183302,367,86.55660377358491
UEFA Euro,2024,Euro,Euro_2024,3930174,Portugal,2097,12,610,496,148,43,25,8,18,14,1.901227116,539,88.36065573770492
UEFA Euro,2024,Euro,Euro_2024,3930174,Turkey,1684,11,468,383,141,42,33,11,16,9,0.7789868169999999,389,83.11965811965813
UEFA Euro,2024,Euro,Euro_2024,3930175,Belgium,1718,20,483,422,114,45,25,6,24,17,1.645816926,399,82.6086956521739
UEFA Euro,2024,Euro,Euro_2024,3930175,Romania,1485,14,387,292,175,41,40,7,18,23,1.246037035,311,80.36175710594316
UEFA Euro,2024,Euro,Euro_2024,3930176,Germany,2328,18,690,608,147,49,23,11,15,6,1.541678225,606,87.82608695652175
UEFA Euro,2024,Euro,Euro_2024,3930176,Switzerland,1399,4,367,274,192,37,24,9,27,10,0.28008559899999996,281,76.566757493188
UEFA Euro,2024,Euro,Euro_2024,3930177,Hungary,1544,14,405,282,220,35,59,4,23,30,1.001013093,289,71.35802469135803
UEFA Euro,2024,Euro,Euro_2024,3930177,Scotland,1842,4,539,411,111,44,35,7,20,26,0.18353525399999998,436,80.89053803339517
UEFA Euro,2024,Euro,Euro_2024,3930178,Croatia,1945,6,545,459,186,35,26,10,29,20,1.483235055,470,86.23853211009175
UEFA Euro,2024,Euro,Euro_2024,3930178,Italy,2063,13,608,519,139,45,21,4,13,14,0.985394353,518,85.19736842105263
UEFA Euro,2024,Euro,Euro_2024,3930179,Albania,1589,10,432,378,140,38,30,17,21,16,0.50315428,351,81.25
UEFA Euro,2024,Euro,Euro_2024,3930179,Spain,2187,16,630,542,173,49,30,11,20,15,0.951712625,549,87.14285714285714
UEFA Euro,2024,Euro,Euro_2024,3930180,Austria,1574,9,428,347,165,45,42,9,20,15,1.0578987149999999,337,78.73831775700934
UEFA Euro,2024,Euro,Euro_2024,3930180,Netherlands,1632,11,488,352,141,40,32,9,19,5,1.510208619,395,80.94262295081968
UEFA Euro,2024,Euro,Euro_2024,3930181,England,2522,12,790,687,89,39,13,4,15,7,0.7562220009999999,710,89.87341772151899
