competition_name,season_name,competition_short,tournament_id,team,player,position,current_role,target_role,role_fit_score,role_fit_rank
African Cup of Nations,2023,AFCON,AFCON_2023,Angola,Bruno Lourenço Pinto de Almeida Paz,Left Center Midfield,Balanced Role,Progressive Carrier,19.27,5.0
African Cup of Nations,2023,AFCON,AFCON_2023,Angola,Bruno Lourenço Pinto de Almeida Paz,Left Center Midfield,Balanced Role,Pressing Player,33.59,1.0
African Cup of Nations,2023,AFCON,AFCON_2023,Angola,Bruno Lourenço Pinto de Almeida Paz,Left Center Midfield,Balanced Role,Ball Winner,25.24,2.0
African Cup of Nations,2023,AFCON,AFCON_2023,Angola,Bruno Lourenço Pinto de Almeida Paz,Left Center Midfield,Balanced Role,Balanced Role,24.07,3.0
African Cup of Nations,2023,AFCON,AFCON_2023,Angola,Cristóvão Paciência Mabululo,Left Center Midfield,Box Threat,Box Threat,95.55,1.0
African Cup of Nations,2023,AFCON,AFCON_2023,Angola,Cristóvão Paciência Mabululo,Left Center Midfield,Box Threat,Tempo Controller,30.32,4.0
African Cup of Nations,2023,AFCON,AFCON_2023,Angola,Cristóvão Paciência Mabululo,Left Center Midfield,Box Threat,Progressive Carrier,25.33,5.0
African Cup of Nations,2023,AFCON,AFCON_2023,Angola,Cristóvão Paciência Mabululo,Left Center Midfield,Box Threat,Pressing Player,92.51,2.0
African Cup of Nations,2023,AFCON,AFCON_2023,Angola,Cristóvão Paciência Mabululo,Left Center Midfield,Box Threat,Ball Winner,25.24,6.0
African Cup of Nations,2023,AFCON,AFCON_2023,Angola,Cristóvão Paciência Mabululo,Left Center Midfield,Box Threat,Balanced Role,52.6,3.0
African Cup of Nations,2023,AFCON,AFCON_2023,Angola,Eddie Marcos Melo Afonso,Right Wing Back,Balanced Role,Box Threat,20.04,3.0
African Cup of Nations,2023,AFCON,AFCON_2023,Angola,Eddie Marcos Melo Afonso,Right Wing Back,Balanced Role,Tempo Controller,11.42,5.0
African Cup of Nations,2023,AFCON,AFCON_2023,Angola,Eddie Marcos Melo Afonso,Right Wing Back,Balanced Role,Progressive Carrier,7.93,6.0
African Cup of Nations,2023,AFCON,AFCON_2023,Angola,Eddie Marcos Melo Afonso,Right Wing Back,Balanced Role,Pressing Player,12.78,4.0
African Cup of Nations,2023,AFCON,AFCON_2023,Angola,Eddie Marcos Melo Afonso,Right Wing Back,Balanced Role,Ball Winner,39.68,1.0
African Cup of Nations,2023,AFCON,AFCON_2023,Angola,Eddie Marcos Melo Afonso,Right Wing Back,Balanced Role,Balanced Role,20.44,2.0
African Cup of Nations,2023,AFCON,AFCON_2023,Angola,Felicio Mendes Joao Milson,Right Wing,Balanced Role,Box Threat,20.04,5.0
African Cup of Nations,2023,AFCON,AFCON_2023,Angola,Felicio Mendes Joao Milson,Right Wing,Balanced Role,Tempo Controller,14.56,6.0
African Cup of Nations,2023,AFCON,AFCON_2023,Angola,Felicio Mendes Joao Milson,Right Wing,Balanced Role,Progressive Carrier,22.47,4.0
African Cup of Nations,2023,AFCON,AFCON_2023,Angola,Felicio Mendes Joao Milson,Right Wing,Balanced Role,Pressing Player,40.53,2.0
African Cup of Nations,2023,AFCON,AFCON_2023,Angola,Felicio Mendes Joao Milson,Right Wing,Balanced Role,Ball Winner,42.46,1.0
African Cup of Nations,2023,AFCON,AFCON_2023,Angola,Felicio Mendes Joao Milson,Right Wing,Balanced Role,Balanced Role,28.74,3.0
African Cup of Nations,2023,AFCON,AFCON_2023,Angola,Jacinto Muondo Dala,Left Center Forward,Box Threat,Box Threat,86.99,1.0
African Cup of Nations,2023,AFCON,AFCON_2023,Angola,Jacinto Muondo Dala,Left Center Forward,Box Threat,Tempo Controller,18.63,6.0
African Cup of Nations,2023,AFCON,AFCON_2023,Angola,Jacinto Muondo Dala,Left Center Forward,Box Threat,Progressive Carrier,45.93,4.0
African Cup of Nations,2023,AFCON,AFCON_2023,Angola,Jacinto Muondo Dala,Left Center Forward,Box Threat,Pressing Player,64.76,2.0
African Cup of Nations,2023,AFCON,AFCON_2023,Angola,Jacinto Muondo Dala,Left Center Forward,Box Threat,Ball Winner,25.24,5.0
African Cup of Nations,2023,AFCON,AFCON_2023,Angola,Jacinto Muondo Dala,Left Center Forward,Box Threat,Balanced Role,49.13,3.0
African Cup of Nations,2023,AFCON,AFCON_2023,Angola,Joaquim Marcos Cunga Balanga,Left Center Back,Balanced Role,Box Threat,20.04,5.0
African Cup of Nations,2023,AFCON,AFCON_2023,Angola,Joaquim Marcos Cunga Balanga,Left Center Back,Balanced Role,Tempo Controller,58.29,2.0
African Cup of Nations,2023,AFCON,AFCON_2023,Angola,Joaquim Marcos Cunga Balanga,Left Center Back,Balanced Role,Progressive Carrier,61.56,1.0
African Cup of Nations,2023,AFCON,AFCON_2023,Angola,Joaquim Marcos Cunga Balanga,Left Center Back,Balanced Role,Pressing Player,12.78,6.0
African Cup of Nations,2023,AFCON,AFCON_2023,Angola,Joaquim Marcos Cunga Balanga,Left Center Back,Balanced Role,Ball Winner,25.24,4.0
African Cup of Nations,2023,AFCON,AFCON_2023,Angola,Joaquim Marcos Cunga Balanga,Left Center Back,Balanced Role,Balanced Role,36.06,3.0
African Cup of Nations,2023,AFCON,AFCON_2023,Angola,Jonathan Buatu Mananga,Right Center Back,Pressing Player,Box Threat,20.04,6.0
African Cup of Nations,2023,AFCON,AFCON_2023,Angola,Jonathan Buatu Mananga,Right Center Back,Pressing Player,Tempo Controller,46.04,4.0
African Cup of Nations,2023,AFCON,AFCON_2023,Angola,Jonathan Buatu Mananga,Right Center Back,Pressing Player,Progressive Carrier,45.93,5.0
African Cup of Nations,2023,AFCON,AFCON_2023,Angola,Jonathan Buatu Mananga,Right Center Back,Pressing Player,Pressing Player,83.15,1.0
African Cup of Nations,2023,AFCON,AFCON_2023,Angola,Jonathan Buatu Mananga,Right Center Back,Pressing Player,Ball Winner,77.86,2.0
African Cup of Nations,2023,AFCON,AFCON_2023,Angola,Jonathan Buatu Mananga,Right Center Back,Pressing Player,Balanced Role,59.74,3.0
African Cup of Nations,2023,AFCON,AFCON_2023,Angola,Kialonda Gaspar,Center Back,Balanced Role,Box Threat,59.21,1.0
African Cup of Nations,2023,AFCON,AFCON_2023,Angola,Kialonda Gaspar,Center Back,Balanced Role,Tempo Controller,55.78,2.0
African Cup of Nations,2023,AFCON,AFCON_2023,Angola,Kialonda Gaspar,Center Back,Balanced Role,Progressive Carrier,43.39,3.0
African Cup of Nations,2023,AFCON,AFCON_2023,Angola,Kialonda Gaspar,Center Back,Balanced Role,Pressing Player,8.48,6.0
African Cup of Nations,2023,AFCON,AFCON_2023,Angola,Kialonda Gaspar,Center Back,Balanced Role,Ball Winner,29.22,5.0
African Cup of Nations,2023,AFCON,AFCON_2023,Angola,Kialonda Gaspar,Center Back,Balanced Role,Balanced Role,36.83,4.0
African Cup of Nations,2023,AFCON,AFCON_2023,Angola,Loide António Augusto,Right Wing Back,Pressing Player,Box Threat,65.22,5.0
African Cup of Nations,2023,AFCON,AFCON_2023,Angola,Loide António Augusto,Right Wing Back,Pressing Player,Tempo Controller,61.15,6.0
African Cup of Nations,2023,AFCON,AFCON_2023,Angola,Loide António Augusto,Right Wing Back,Pressing Player,Progressive Carrier,69.38,3.0
African Cup of Nations,2023,AFCON,AFCON_2023,Angola,Loide António Augusto,Right Wing Back,Pressing Player,Pressing Player,90.86,1.0
