competition_name,season_name,competition_short,tournament_id,team,matches,shots,passes,carries,pressures,recoveries,duels,interceptions,blocks,clearances,xg,avg_pass_completion_pct,goals,wins,draws,losses,goals_for,goals_against,goal_difference,shots_per_match,passes_per_match,carries_per_match,pressures_per_match,recoveries_per_match,duels_per_match,interceptions_per_match,blocks_per_match,clearances_per_match,xg_per_match,goals_per_match,tempo,directness,pressing_intensity,defensive_activity,attacking_threat,shots_per_match_rank,passes_per_match_rank,carries_per_match_rank,pressures_per_match_rank,recoveries_per_match_rank,xg_per_match_rank,goals_per_match_rank,avg_pass_completion_pct_rank,tempo_rank,directness_rank,pressing_intensity_rank,defensive_activity_rank,attacking_threat_rank,general_style,offensive_style,defensive_style,strengths,weaknesses,most_used_formation,attack_score,build_up_score,defense_score,directness_score
FIFA World Cup,2022,World Cup,World Cup_2022,Uruguay,3,33,1477,1051,374,123,115,36,70,73,3.27,78.31,2,1,1,1,2,2,0,11.0,492.33,350.33,124.67,41.0,38.33,12.0,23.33,24.33,1.09,0.67,842.67,2.23,165.67,98.0,5.05,0.48,0.53,0.41,0.38,0.22,0.44,0.25,0.34,0.5,0.62,0.34,0.88,0.47,Balanced / Mixed,Balanced Attack,High Defensive Activity,['Balanced profile without one dominant strength'],['Limited ball recovery activity'],,40.47,43.75,49.22,62.5
FIFA World Cup,2022,World Cup,World Cup_2022,Wales,3,24,1353,995,354,141,100,24,71,78,2.22,77.65,1,0,1,2,1,6,-5,8.0,451.0,331.67,118.0,47.0,33.33,8.0,23.67,26.0,0.74,0.33,782.67,1.77,165.0,91.0,3.64,0.19,0.38,0.34,0.25,0.64,0.19,0.09,0.25,0.38,0.25,0.28,0.72,0.16,Balanced / Mixed,Balanced Attack,Balanced Defense,['Balanced profile without one dominant strength'],"['Limited chance generation', 'Low shot volume', 'Low passing accuracy']",,16.41,32.81,54.22,25.0
UEFA Euro,2024,Euro,Euro_2024,Albania,2,24,773,660,328,84,62,28,45,42,1.83,79.33,2,0,1,1,2,3,-1,12.0,386.5,330.0,164.0,42.0,31.0,14.0,22.5,21.0,0.91,1.0,716.5,3.1,206.0,88.5,5.35,0.42,0.21,0.38,0.67,0.62,0.29,0.56,0.33,0.33,0.92,0.71,0.81,0.38,Direct / Vertical,Direct Attack,High Defensive Activity,['Direct attacking profile'],['Low possession volume'],,39.69,29.58,71.98,91.67
UEFA Euro,2024,Euro,Euro_2024,Austria,4,50,2073,1663,722,197,149,45,99,53,6.11,81.33,7,2,0,2,7,6,1,12.5,518.25,415.75,180.5,49.25,37.25,11.25,24.75,13.25,1.53,1.75,934.0,2.41,229.75,86.5,5.92,0.54,0.54,0.5,0.83,0.92,0.71,0.92,0.42,0.54,0.33,0.88,0.67,0.54,High Intensity / Pressing,Balanced Attack,Aggressive Pressing,"['High pressing intensity', 'Strong ball recovery activity']",['No clear major weakness from selected indicators'],,71.04,49.17,81.46,33.33
UEFA Euro,2024,Euro,Euro_2024,Belgium,4,53,2208,1886,439,154,96,19,79,55,4.39,85.04,2,1,1,2,2,2,0,13.25,552.0,471.5,109.75,38.5,24.0,4.75,19.75,13.75,1.1,0.5,1023.5,2.4,148.25,62.25,5.96,0.62,0.75,0.75,0.08,0.42,0.38,0.27,0.71,0.75,0.25,0.08,0.08,0.58,Possession / Control,Possession-Based Attack,Balanced Defense,['High possession volume'],['Low pressing activity'],,42.4,73.75,18.33,25.0
UEFA Euro,2024,Euro,Euro_2024,Croatia,3,43,1783,1509,546,126,86,33,75,39,5.82,87.06,3,0,2,1,3,6,-3,14.33,594.33,503.0,182.0,42.0,28.67,11.0,25.0,13.0,1.94,1.0,1097.33,2.41,224.0,77.67,6.9,0.75,0.83,0.83,0.88,0.62,0.92,0.56,0.83,0.83,0.29,0.83,0.5,0.83,Possession / Control,High Chance Creation,Aggressive Pressing,"['Strong chance generation', 'High shot volume', 'High possession volume', 'Strong passing accuracy', 'High pressing intensity']",['No clear major weakness from selected indicators'],,77.81,83.33,65.42,29.17
UEFA Euro,2024,Euro,Euro_2024,Czech Republic,3,44,1107,834,415,135,112,26,62,60,4.59,72.12,3,0,1,2,3,5,-2,14.67,369.0,278.0,138.33,45.0,37.33,8.67,20.67,20.0,1.53,1.0,647.0,3.97,183.33,86.67,6.78,0.83,0.17,0.12,0.38,0.88,0.75,0.56,0.08,0.12,1.0,0.38,0.71,0.79,Direct / Vertical,High Chance Creation,Recovery-Oriented,"['Strong chance generation', 'High shot volume', 'Strong ball recovery activity', 'Direct attacking profile']","['Low possession volume', 'Low passing accuracy']",,72.81,12.92,64.17,100.0
UEFA Euro,2024,Euro,Euro_2024,Denmark,2,26,1062,856,321,66,67,15,32,16,1.81,82.9,1,0,1,1,1,3,-2,13.0,531.0,428.0,160.5,33.0,33.5,7.5,16.0,8.0,0.9,0.5,959.0,2.45,193.5,65.0,5.74,0.58,0.62,0.67,0.56,0.15,0.25,0.27,0.46,0.62,0.42,0.5,0.23,0.5,Balanced / Mixed,Balanced Attack,Balanced Defense,['Balanced profile without one dominant strength'],"['Limited chance generation', 'Limited ball recovery activity']",,35.52,58.75,29.9,41.67
UEFA Euro,2024,Euro,Euro_2024,England,7,81,4535,3815,884,297,192,38,132,97,10.49,86.27,8,3,3,1,8,6,2,11.57,647.86,545.0,126.29,42.43,27.43,5.43,18.86,13.86,1.5,1.14,1192.86,1.79,168.71,65.57,5.53,0.38,0.92,0.92,0.17,0.75,0.62,0.71,0.79,0.92,0.17,0.21,0.29,0.42,Possession / Control,Possession-Based Attack,Recovery-Oriented,"['High possession volume', 'Strong passing accuracy', 'Strong ball recovery activity']",['Low pressing activity'],,57.08,87.92,40.0,16.67
UEFA Euro,2024,Euro,Euro_2024,France,6,101,3454,2893,809,216,141,48,114,99,12.11,87.16,4,2,3,1,4,3,1,16.83,575.67,482.17,134.83,36.0,23.5,8.0,19.0,16.5,2.02,0.67,1057.83,2.92,170.83,67.0,7.94,0.88,0.79,0.79,0.29,0.29,0.96,0.38,0.88,0.79,0.79,0.25,0.33,0.92,Possession / Control,High Chance Creation,Balanced Defense,"['Strong chance generation', 'High shot volume', 'High possession volume', 'Strong passing accuracy', 'Direct attacking profile']",['Low pressing activity'],,78.75,81.67,29.17,79.17
