competition_name,season_name,competition_short,tournament_id,team,similar_competition_name,similar_season_name,similar_competition_short,similar_tournament_id,similar_team,similarity_score,similarity_rank
Copa America,2024,Copa América,Copa América_2024,Ecuador,African Cup of Nations,2023,AFCON,AFCON_2023,Nigeria,85.94,2.0
Copa America,2024,Copa América,Copa América_2024,Ecuador,Copa America,2024,Copa América,Copa América_2024,Uruguay,69.84,9.0
Copa America,2024,Copa América,Copa América_2024,Ecuador,FIFA World Cup,2022,World Cup,World Cup_2022,Iran,81.83,4.0
Copa America,2024,Copa América,Copa América_2024,Ecuador,FIFA World Cup,2022,World Cup,World Cup_2022,Japan,75.09,6.0
Copa America,2024,Copa América,Copa América_2024,Ecuador,FIFA World Cup,2022,World Cup,World Cup_2022,Saudi Arabia,69.15,10.0
Copa America,2024,Copa América,Copa América_2024,Ecuador,FIFA World Cup,2022,World Cup,World Cup_2022,Senegal,70.28,8.0
Copa America,2024,Copa América,Copa América_2024,Ecuador,UEFA Euro,2024,Euro,Euro_2024,Czech Republic,93.93,1.0
Copa America,2024,Copa América,Copa América_2024,Ecuador,UEFA Euro,2024,Euro,Euro_2024,Poland,76.89,5.0
Copa America,2024,Copa América,Copa América_2024,Jamaica,FIFA World Cup,2022,World Cup,World Cup_2022,Australia,79.44,3.0
Copa America,2024,Copa América,Copa América_2024,Jamaica,FIFA World Cup,2022,World Cup,World Cup_2022,Costa Rica,72.19,7.0
Copa America,2024,Copa América,Copa América_2024,Jamaica,FIFA World Cup,2022,World Cup,World Cup_2022,Poland,69.2,10.0
Copa America,2024,Copa América,Copa América_2024,Jamaica,FIFA World Cup,2022,World Cup,World Cup_2022,Saudi Arabia,80.7,2.0
Copa America,2024,Copa América,Copa América_2024,Jamaica,FIFA World Cup,2022,World Cup,World Cup_2022,Tunisia,82.18,1.0
Copa America,2024,Copa América,Copa América_2024,Jamaica,FIFA World Cup,2022,World Cup,World Cup_2022,Uruguay,70.53,8.0
Copa America,2024,Copa América,Copa América_2024,Jamaica,FIFA World Cup,2022,World Cup,World Cup_2022,Wales,74.52,6.0
Copa America,2024,Copa América,Copa América_2024,Jamaica,UEFA Euro,2024,Euro,Euro_2024,Georgia,75.35,5.0
Copa America,2024,Copa América,Copa América_2024,Jamaica,UEFA Euro,2024,Euro,Euro_2024,Hungary,70.53,9.0
Copa America,2024,Copa América,Copa América_2024,Jamaica,UEFA Euro,2024,Euro,Euro_2024,Romania,76.76,4.0
Copa America,2024,Copa América,Copa América_2024,Mexico,African Cup of Nations,2023,AFCON,AFCON_2023,Cape Verde Islands,69.27,1.0
Copa America,2024,Copa América,Copa América_2024,Mexico,African Cup of Nations,2023,AFCON,AFCON_2023,Côte d'Ivoire,56.02,6.0
Copa America,2024,Copa América,Copa América_2024,Mexico,African Cup of Nations,2023,AFCON,AFCON_2023,Egypt,59.65,3.0
Copa America,2024,Copa América,Copa América_2024,Mexico,African Cup of Nations,2023,AFCON,AFCON_2023,South Africa,48.25,10.0
Copa America,2024,Copa América,Copa América_2024,Mexico,Copa America,2024,Copa América,Copa América_2024,Paraguay,64.04,2.0
Copa America,2024,Copa América,Copa América_2024,Mexico,Copa America,2024,Copa América,Copa América_2024,Uruguay,48.79,9.0
Copa America,2024,Copa América,Copa América_2024,Mexico,Copa America,2024,Copa América,Copa América_2024,Venezuela,56.45,5.0
Copa America,2024,Copa América,Copa América_2024,Mexico,FIFA World Cup,2022,World Cup,World Cup_2022,Brazil,54.1,8.0
Copa America,2024,Copa América,Copa América_2024,Mexico,FIFA World Cup,2022,World Cup,World Cup_2022,Germany,58.79,4.0
Copa America,2024,Copa América,Copa América_2024,Mexico,FIFA World Cup,2022,World Cup,World Cup_2022,Mexico,55.72,7.0
Copa America,2024,Copa América,Copa América_2024,Panama,African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,79.07,2.0
Copa America,2024,Copa América,Copa América_2024,Panama,African Cup of Nations,2023,AFCON,AFCON_2023,Morocco,77.73,3.0
Copa America,2024,Copa América,Copa América_2024,Panama,African Cup of Nations,2023,AFCON,AFCON_2023,Mozambique,69.16,4.0
Copa America,2024,Copa América,Copa América_2024,Panama,Copa America,2024,Copa América,Copa América_2024,Colombia,58.91,9.0
Copa America,2024,Copa América,Copa América_2024,Panama,Copa America,2024,Copa América,Copa América_2024,United States,55.0,10.0
Copa America,2024,Copa América,Copa América_2024,Panama,FIFA World Cup,2022,World Cup,World Cup_2022,England,62.88,8.0
Copa America,2024,Copa América,Copa América_2024,Panama,FIFA World Cup,2022,World Cup,World Cup_2022,Portugal,63.47,6.0
Copa America,2024,Copa América,Copa América_2024,Panama,FIFA World Cup,2022,World Cup,World Cup_2022,Switzerland,63.0,7.0
Copa America,2024,Copa América,Copa América_2024,Panama,UEFA Euro,2024,Euro,Euro_2024,Belgium,64.96,5.0
Copa America,2024,Copa América,Copa América_2024,Panama,UEFA Euro,2024,Euro,Euro_2024,Netherlands,83.95,1.0
Copa America,2024,Copa América,Copa América_2024,Paraguay,African Cup of Nations,2023,AFCON,AFCON_2023,Mauritania,70.39,1.0
Copa America,2024,Copa América,Copa América_2024,Paraguay,Copa America,2024,Copa América,Copa América_2024,Ecuador,54.35,9.0
Copa America,2024,Copa América,Copa América_2024,Paraguay,Copa America,2024,Copa América,Copa América_2024,Mexico,64.04,6.0
Copa America,2024,Copa América,Copa América_2024,Paraguay,Copa America,2024,Copa América,Copa América_2024,Uruguay,61.75,7.0
Copa America,2024,Copa América,Copa América_2024,Paraguay,FIFA World Cup,2022,World Cup,World Cup_2022,Mexico,54.41,8.0
Copa America,2024,Copa América,Copa América_2024,Paraguay,FIFA World Cup,2022,World Cup,World Cup_2022,Senegal,51.6,10.0
Copa America,2024,Copa América,Copa América_2024,Paraguay,UEFA Euro,2024,Euro,Euro_2024,Albania,66.04,4.0
Copa America,2024,Copa América,Copa América_2024,Paraguay,UEFA Euro,2024,Euro,Euro_2024,Czech Republic,64.25,5.0
Copa America,2024,Copa América,Copa América_2024,Paraguay,UEFA Euro,2024,Euro,Euro_2024,Poland,66.61,3.0
Copa America,2024,Copa América,Copa América_2024,Paraguay,UEFA Euro,2024,Euro,Euro_2024,Ukraine,66.99,2.0
Copa America,2024,Copa América,Copa América_2024,Peru,African Cup of Nations,2023,AFCON,AFCON_2023,Angola,67.62,10.0
Copa America,2024,Copa América,Copa América_2024,Peru,African Cup of Nations,2023,AFCON,AFCON_2023,Gambia,67.64,9.0
Copa America,2024,Copa América,Copa América_2024,Peru,African Cup of Nations,2023,AFCON,AFCON_2023,Guinea-Bissau,68.83,7.0
Copa America,2024,Copa América,Copa América_2024,Peru,African Cup of Nations,2023,AFCON,AFCON_2023,Tunisia,67.92,8.0
Copa America,2024,Copa América,Copa América_2024,Peru,Copa America,2024,Copa América,Copa América_2024,Chile,75.21,3.0
Copa America,2024,Copa América,Copa América_2024,Peru,Copa America,2024,Copa América,Copa América_2024,Costa Rica,71.82,4.0
Copa America,2024,Copa América,Copa América_2024,Peru,FIFA World Cup,2022,World Cup,World Cup_2022,Cameroon,70.37,6.0
Copa America,2024,Copa América,Copa América_2024,Peru,FIFA World Cup,2022,World Cup,World Cup_2022,Poland,70.76,5.0
Copa America,2024,Copa América,Copa América_2024,Peru,UEFA Euro,2024,Euro,Euro_2024,Romania,80.02,2.0
Copa America,2024,Copa América,Copa América_2024,Peru,UEFA Euro,2024,Euro,Euro_2024,Scotland,80.54,1.0
Copa America,2024,Copa América,Copa América_2024,United States,African Cup of Nations,2023,AFCON,AFCON_2023,Burkina Faso,76.43,1.0
Copa America,2024,Copa América,Copa América_2024,United States,African Cup of Nations,2023,AFCON,AFCON_2023,Equatorial Guinea,50.43,9.0
Copa America,2024,Copa América,Copa América_2024,United States,African Cup of Nations,2023,AFCON,AFCON_2023,Gambia,75.46,2.0
Copa America,2024,Copa América,Copa América_2024,United States,African Cup of Nations,2023,AFCON,AFCON_2023,Mozambique,59.04,5.0
Copa America,2024,Copa América,Copa América_2024,United States,African Cup of Nations,2023,AFCON,AFCON_2023,Nigeria,57.14,6.0
Copa America,2024,Copa América,Copa América_2024,United States,Copa America,2024,Copa América,Copa América_2024,Panama,55.0,7.0
Copa America,2024,Copa América,Copa América_2024,United States,Copa America,2024,Copa América,Copa América_2024,Peru,67.58,3.0
Copa America,2024,Copa América,Copa América_2024,United States,FIFA World Cup,2022,World Cup,World Cup_2022,Poland,64.87,4.0
Copa America,2024,Copa América,Copa América_2024,United States,FIFA World Cup,2022,World Cup,World Cup_2022,Senegal,53.29,8.0
Copa America,2024,Copa América,Copa América_2024,United States,FIFA World Cup,2022,World Cup,World Cup_2022,Serbia,42.54,10.0
Copa America,2024,Copa América,Copa América_2024,Uruguay,African Cup of Nations,2023,AFCON,AFCON_2023,Cape Verde Islands,87.62,1.0
Copa America,2024,Copa América,Copa América_2024,Uruguay,African Cup of Nations,2023,AFCON,AFCON_2023,Congo DR,80.69,2.0
Copa America,2024,Copa América,Copa América_2024,Uruguay,African Cup of Nations,2023,AFCON,AFCON_2023,Egypt,71.7,6.0
Copa America,2024,Copa América,Copa América_2024,Uruguay,African Cup of Nations,2023,AFCON,AFCON_2023,Mauritania,61.89,10.0
Copa America,2024,Copa América,Copa América_2024,Uruguay,African Cup of Nations,2023,AFCON,AFCON_2023,Senegal,73.88,4.0
Copa America,2024,Copa América,Copa América_2024,Uruguay,Copa America,2024,Copa América,Copa América_2024,Canada,72.36,5.0
Copa America,2024,Copa América,Copa América_2024,Uruguay,Copa America,2024,Copa América,Copa América_2024,Ecuador,69.84,7.0
Copa America,2024,Copa América,Copa América_2024,Uruguay,Copa America,2024,Copa América,Copa América_2024,Venezuela,79.02,3.0
Copa America,2024,Copa América,Copa América_2024,Uruguay,FIFA World Cup,2022,World Cup,World Cup_2022,Japan,64.35,9.0
Copa America,2024,Copa América,Copa América_2024,Uruguay,UEFA Euro,2024,Euro,Euro_2024,Czech Republic,67.71,8.0
Copa America,2024,Copa América,Copa América_2024,Venezuela,African Cup of Nations,2023,AFCON,AFCON_2023,Cape Verde Islands,91.97,1.0
Copa America,2024,Copa América,Copa América_2024,Venezuela,African Cup of Nations,2023,AFCON,AFCON_2023,Congo DR,65.1,8.0
Copa America,2024,Copa América,Copa América_2024,Venezuela,African Cup of Nations,2023,AFCON,AFCON_2023,Egypt,68.16,6.0
Copa America,2024,Copa América,Copa América_2024,Venezuela,African Cup of Nations,2023,AFCON,AFCON_2023,South Africa,71.77,3.0
Copa America,2024,Copa América,Copa América_2024,Venezuela,Copa America,2024,Copa América,Copa América_2024,Canada,71.71,4.0
Copa America,2024,Copa América,Copa América_2024,Venezuela,Copa America,2024,Copa América,Copa América_2024,Ecuador,66.84,7.0
Copa America,2024,Copa América,Copa América_2024,Venezuela,Copa America,2024,Copa América,Copa América_2024,Mexico,56.45,9.0
Copa America,2024,Copa América,Copa América_2024,Venezuela,Copa America,2024,Copa América,Copa América_2024,Uruguay,79.02,2.0
Copa America,2024,Copa América,Copa América_2024,Venezuela,FIFA World Cup,2022,World Cup,World Cup_2022,Japan,70.76,5.0
Copa America,2024,Copa América,Copa América_2024,Venezuela,UEFA Euro,2024,Euro,Euro_2024,Czech Republic,55.51,10.0
FIFA World Cup,2022,World Cup,World Cup_2022,Argentina,African Cup of Nations,2023,AFCON,AFCON_2023,Egypt,82.79,7.0
FIFA World Cup,2022,World Cup,World Cup_2022,Argentina,Copa America,2024,Copa América,Copa América_2024,Argentina,73.66,10.0
